A1BG
A1BG-AS1
A2M
A2M-AS1
A2ML1
A4GALT
A4GNT
AAAS
AACS
AADAC
AADAT
AAGAB
AAK1
AAMDC
AAMP
AANAT
AAR2
AARD
AARS1
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATBC
AATF
AATK
ABALON
ABAT
ABCA1
ABCA10
ABCA12
ABCA13
ABCA2
ABCA3
ABCA4
ABCA5
ABCA6
ABCA7
ABCA8
ABCA9
ABCB1
ABCB10
ABCB4
ABCB5
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC11
ABCC3
ABCC4
ABCC5
ABCC6
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG1
ABCG2
ABHD1
ABHD10
ABHD11
ABHD11-AS1
ABHD12
ABHD12B
ABHD13
ABHD14A
ABHD14B
ABHD15
ABHD16A
ABHD17A
ABHD17B
ABHD17C
ABHD18
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABI3BP
ABITRAM
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABO
ABR
ABRACL
ABRAXAS1
ABRAXAS2
ABT1
ABTB1
ABTB2
AC002306.1
AC002331.1
AC002456.2
AC003092.1
AC004069.2
AC004257.1
AC004381.6
AC004490.1
AC004540.5
AC004947.2
AC004951.6
AC004988.1
AC005224.2
AC005253.2
AC005355.2
AC005477.1
AC005480.1
AC005498.3
AC005523.2
AC005537.2
AC005592.2
AC006369.2
AC006449.2
AC006994.2
AC007292.3
AC007319.1
AC007325.2
AC007325.4
AC007383.3
AC007383.4
AC007389.3
AC007405.4
AC007405.6
AC007620.3
AC007743.1
AC007879.2
AC007906.1
AC007950.2
AC008074.1
AC008268.1
AC008522.1
AC009065.4
AC009228.1
AC009299.3
AC009403.2
AC009404.2
AC009495.2
AC009506.1
AC009542.2
AC009950.2
AC009961.3
AC010287.1
AC010642.1
AC010761.6
AC010894.3
AC010894.5
AC010907.2
AC010976.2
AC011043.1
AC011997.1
AC012360.4
AC012368.1
AC013461.1
AC015849.2
AC015987.1
AC016549.1
AC016700.5
AC016831.7
AC017002.1
AC017002.2
AC020743.2
AC022182.1
AC022182.3
AC023481.1
AC023590.1
AC024560.2
AC025171.1
AC025335.1
AC026202.3
AC026471.6
AC034243.1
AC058791.1
AC061992.2
AC062029.1
AC064834.1
AC067959.1
AC068282.3
AC069277.2
AC069513.4
AC072062.1
AC073254.1
AC073257.2
AC073283.4
AC073657.1
AC074183.4
AC078883.3
AC079354.3
AC079767.4
AC079922.3
AC083843.1
AC083843.2
AC084809.2
AC087430.1
AC090154.1
AC090498.1
AC090616.2
AC092484.1
AC092535.3
AC092580.4
AC093323.3
AC093382.1
AC093627.10
AC093802.1
AC098820.4
AC099342.1
AC099552.4
AC100830.3
AC104024.1
AC104653.1
AC104820.2
AC105052.2
AC105339.1
AC106801.1
AC107081.5
AC108142.1
AC109642.1
AC109826.1
AC110615.1
AC112721.2
AC113404.1
AC114730.2
AC114730.3
AC116035.1
AC123023.1
AC124944.3
AC133644.2
AC136616.1
AC137934.1
AC138969.4
AC140912.1
AC142472.6
AC144652.1
AC144831.1
AC145110.1
AC147651.4
AC159540.1
AC240274.1
AC241585.2
AC245100.1
AC253572.1
ACAA1
ACAA2
ACACA
ACACB
ACAD10
ACAD11
ACAD8
ACAD9
ACADL
ACADM
ACADS
ACADSB
ACADVL
ACAN
ACAP1
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD4
ACBD5
ACBD6
ACCS
ACD
ACE
ACE2
ACER1
ACER3
ACHE
ACIN1
ACKR1
ACKR2
ACKR3
ACKR4
ACLY
ACO1
ACO2
ACOT1
ACOT11
ACOT13
ACOT2
ACOT4
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACOXL
ACP1
ACP2
ACP3
ACP5
ACP6
ACP7
ACR
ACRBP
ACSBG1
ACSF2
ACSF3
ACSL1
ACSL3
ACSL4
ACSL5
ACSL6
ACSM1
ACSM2A
ACSM2B
ACSM3
ACSM5
ACSS1
ACSS2
ACSS3
ACTA1
ACTA2
ACTB
ACTBL2
ACTG1
ACTG2
ACTL10
ACTL6A
ACTN1
ACTN1-AS1
ACTN2
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR3C
ACTR5
